,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
IND,1407563842,0.09541682712733746,134305275,0.258495,258494.99999999997
BRA,214326223,0.2703133337199688,57935235,0.111507,111507.0
CHN,1425893464,0.031972962722647935,45590038,0.087746,87746.0
IDN,273753191,0.15059948898851871,41227090,0.079349,79349.0
YEM,32981641,0.9471706598997116,31239242,0.060126,60126.0
MEX,126705138,0.20805120095610619,26361156,0.050737,50737.0
EGY,109262178,0.2008133064955473,21941299,0.04223,42230.0
NGA,213401323,0.08884904906153679,18960504,0.036493,36493.0
PAK,231402116,0.06528402958065271,15106862,0.029076,29076.0
DZA,44177969,0.3400910571217537,15024532,0.028917,28917.0
KEN,53005614,0.20694692991673946,10969349,0.021112,21112.0
ARG,45276780,0.15961910784244537,7227039,0.01391,13910.0
VNM,97468028,0.07398079335689545,7210762,0.013878,13878.0
COD,95894118,0.0670472418423742,6429436,0.012375,12375.0
USA,336997624,0.01870233239606023,6302641,0.012131,12131.0
COL,51516562,0.09660594630986452,4976806,0.009579,9579.0
UGA,45853778,0.10295663774013519,4720950,0.009086,9086.0
ESP,47486935,0.08823050931096077,4189796,0.008064,8064.0
TWN,23859912,0.1605493746465072,3830693,0.007373,7373.0
CMR,27198628,0.1173219382762909,3190995,0.006142,6142.0
ECU,17797737,0.1638836646452546,2916758,0.005614,5614.0
ROU,19328560,0.1505324188619852,2909574,0.0056,5600.0
ZAF,59392255,0.04822863545268774,2864407,0.005513,5513.0
POL,38307726,0.07016276568174362,2687776,0.005173,5173.0
TUN,12262946,0.21465719118714333,2632329,0.005066,5066.0
SWE,10467097,0.24850143119692802,2601088,0.005006,5006.0
THA,71601103,0.034664789913222194,2482037,0.004777,4777.0
NIC,6850540,0.30909195356070995,2117446,0.004075,4074.9999999999995
GRC,10445365,0.2004445381462574,2093716,0.00403,4029.9999999999995
HND,10278346,0.1753530539572239,1802339,0.003469,3469.0
CZE,10510750,0.15645046904683113,1644411,0.003165,3165.0
KHM,16589023,0.09291158232372254,1541312,0.002967,2967.0
BFA,22100683,0.06944289803504944,1534735,0.002954,2954.0
TUR,84775404,0.017897943267598748,1517305,0.00292,2920.0
CIV,27478249,0.045687269419431686,1255406,0.002416,2416.0
TGO,8644829,0.13916600216180086,1203066,0.002316,2316.0
DOM,11117874,0.09712261985987425,1079797,0.002078,2078.0
JOR,11148278,0.0897293733432889,1000327,0.001925,1925.0
SLE,8420641,0.11075342632830143,932614,0.001795,1795.0
BIH,3270943,0.2599400505423546,850249,0.001636,1636.0
HTI,11447569,0.07405812107026577,847785,0.001632,1632.0
ISR,9291000,0.08469535782933235,786904,0.001515,1515.0
BOL,12079472,0.05741564277559519,693550,0.001335,1335.0
MYS,33573874,0.01911041815765202,641610,0.001235,1235.0
SAU,35950396,0.017791742575354874,639620,0.001231,1231.0
AUS,25921089,0.024429634679108858,633242,0.001219,1219.0
HRV,4060135,0.14306137710809708,580848,0.001118,1118.0
SSD,10748272,0.05339073808863759,573858,0.001104,1104.0
LKA,21773441,0.025928464950993657,564551,0.001087,1087.0
MDG,28915653,0.01884252391755581,544843,0.001049,1049.0
VEN,28199866,0.018787012435495853,529791,0.00102,1020.0000000000001
TTO,1525663,0.33249104768037796,507269,0.000976,976.0
KOR,51830139,0.009722468443214893,503916,0.00097,970.0
MOZ,32077072,0.01542825740762055,494893,0.000953,953.0
LAO,7425058,0.06496376870200038,482359,0.000928,928.0
SVK,5447622,0.06931197643280029,377585,0.000727,727.0
ERI,3620312,0.10050304234027863,363852,0.0007,700.0
AUT,8922082,0.038148267194628716,340361,0.000655,655.0
JAM,2827694,0.1063671960728243,300773,0.000579,579.0
PRY,6703799,0.040371102280914783,270639,0.000521,521.0
MKD,2103330,0.1283986195921898,270064,0.00052,520.0
PRT,10290103,0.024085240438580513,247839,0.000477,477.0
SVN,2119410,0.11448393389582634,242638,0.000467,467.0
BGR,6885868,0.03407367039471865,234626,0.000452,452.0
MMR,53798084,0.0042662061750888824,229513,0.000442,442.0
LBN,5592631,0.04071211814880371,227687,0.000438,438.0
LSO,2281454,0.0985649824142456,224871,0.000433,433.0
NZL,5129728,0.043781330808997154,224586,0.000432,432.0
CAF,5457154,0.03644802141934633,198902,0.000383,383.0
GEO,3757980,0.049434040673077106,185772,0.000358,358.0
FIN,5535992,0.03198288846760988,177057,0.000341,341.0
BHS,407906,0.4125642031431198,168287,0.000324,324.0
BLZ,400031,0.41129491478204727,164530,0.000317,317.0
RWA,13461888,0.011863249354064465,159701,0.000307,307.0
MDA,3061506,0.050594720989465714,154896,0.000298,298.0
KWT,4250114,0.031179366167634726,132515,0.000255,255.00000000000003
