,population,mortality_rates_prediction,num_deaths_prediction,perc,num_vaccine
IND,1407563842,0.4576098062098026,644115016,0.338194,338194.0
BRA,214326223,1.0,214326223,0.112532,112532.0
IDN,273753191,0.6450726427137852,176590694,0.092719,92719.0
MEX,126705138,0.7253222689032555,91902058,0.048253,48253.0
EGY,109262178,0.7693210039287806,84057688,0.044135,44135.0
NGA,213401323,0.39300395641475916,83867564,0.044035,44035.0
PAK,231402116,0.24052649922668934,55658340,0.029224,29224.0
VNM,97468028,0.5545817539095879,54053989,0.028381,28381.0
KEN,53005614,0.9593890029937029,50853003,0.0267,26700.0
DZA,44177969,1.0,44177969,0.023196,23196.0
YEM,32981641,1.0,32981641,0.017317,17317.0
ARG,45276780,0.726392924785614,32888732,0.017268,17268.0
UGA,45853778,0.5816089734435081,26668968,0.014003,14003.0
ESP,47486935,0.5294472128152847,25141825,0.013201,13201.0
USA,336997624,0.06746852677315474,22736733,0.011938,11938.0
COD,95894118,0.21775701909791678,20881617,0.010964,10964.0
COL,51516562,0.4021777203306556,20718813,0.010878,10878.0
CMR,27198628,0.5238198004662991,14247179,0.007481,7481.0
ROU,19328560,0.6804180331528187,13151500,0.006905,6905.0
POL,38307726,0.3236048575490713,12396566,0.006509,6509.0
TUN,12262946,1.0,12262946,0.006439,6439.0
ECU,17797737,0.6102045625448227,10860260,0.005702,5702.0
TWN,23859912,0.44212110771331936,10548970,0.005539,5539.0
SWE,10467097,1.0,10467097,0.005496,5496.0
GRC,10445365,1.0,10445365,0.005484,5484.0
ZAF,59392255,0.15177990216761827,9014550,0.004733,4733.0
CZE,10510750,0.7928142957389355,8333072,0.004375,4375.0
HND,10278346,0.7337278071790934,7541508,0.00396,3960.0
BFA,22100683,0.3133630743250251,6925537,0.003636,3636.0
NIC,6850540,1.0,6850540,0.003597,3597.0
CIV,27478249,0.20453985827043653,5620397,0.002951,2951.0
TGO,8644829,0.6084372587502003,5259836,0.002762,2762.0
LAO,7425058,0.6729658364783973,4996810,0.002624,2624.0
DOM,11117874,0.43602311704307795,4847650,0.002545,2545.0
